财报日期,实际交易日,财报前收盘价,财报日收盘价,财报日涨跌幅(%),第1日后涨跌幅(%),第1日后收盘价,第2日后涨跌幅(%),第3日后涨跌幅(%),第4日后涨跌幅(%),第5日后涨跌幅(%),期间最高价,期间最低价,最大涨幅(%),最大跌幅(%)
2026-01-28,2026-01-29,668.73,738.31,10.4,7.14,716.5,5.63,3.43,0.04,0.22,744.0,653.5,11.26,-2.28
2025-10-29,2025-10-30,751.06,665.93,-11.33,-13.75,647.82,-15.16,-16.54,-15.4,-17.66,680.41,617.5,-9.41,-17.78
2025-07-30,2025-07-31,694.17,772.29,11.25,7.88,748.89,11.67,9.82,11.04,9.58,783.58,744.2,12.88,7.21
2025-04-30,2025-05-01,547.76,570.92,4.23,8.75,595.67,9.16,6.98,8.71,8.93,609.92,569.21,11.35,3.92
2025-01-29,2025-01-30,674.36,684.84,1.55,1.88,687.01,3.1,4.09,4.2,5.25,716.64,673.13,6.27,-0.18
2024-10-30,2024-10-31,589.46,565.34,-4.09,-4.16,564.92,-5.26,-3.27,-3.34,-0.02,592.45,552.98,0.51,-6.19
2024-07-31,2024-08-01,472.51,495.3,4.82,2.8,485.75,0.19,4.06,2.97,7.33,524.59,448.59,11.02,-5.06
2024-04-24,2024-04-25,490.6,438.78,-10.56,-10.17,440.68,-12.34,-12.83,-11.01,-10.5,447.31,412.06,-8.82,-16.01
2024-02-01,2024-02-02,392.04,471.7,20.32,16.37,456.22,15.18,18.95,19.05,18.57,482.59,449.86,23.1,14.75
2023-10-25,2023-10-26,297.45,286.35,-3.73,-0.93,294.67,1.04,0.58,4.11,3.79,316.61,277.46,6.44,-6.72
2023-07-26,2023-07-27,296.5,309.55,4.4,9.01,323.22,6.71,8.09,5.27,4.9,323.94,307.69,9.25,3.77
2023-04-26,2023-04-27,207.95,236.91,13.93,14.77,238.65,16.13,14.25,13.19,11.52,243.22,231.14,16.96,11.15
