财报日期,实际交易日,财报前收盘价,财报日收盘价,财报日涨跌幅(%),第1日后涨跌幅(%),第1日后收盘价,第2日后涨跌幅(%),第3日后涨跌幅(%),第4日后涨跌幅(%),第5日后涨跌幅(%),期间最高价,期间最低价,最大涨幅(%),最大跌幅(%)
2026-01-28,2026-01-29,481.63,433.5,-9.99,-10.66,430.29,-12.1,-14.62,-14.0,-18.26,442.5,392.32,-8.12,-18.54
2025-10-29,2025-10-30,540.54,524.78,-2.92,-4.38,516.84,-4.53,-5.03,-6.35,-8.21,533.97,494.88,-1.22,-8.45
2025-07-30,2025-07-31,511.44,531.63,3.95,2.12,522.27,4.36,2.83,2.28,1.48,553.5,515.74,8.22,0.84
2025-04-30,2025-05-01,393.15,423.13,7.63,10.12,432.96,10.35,9.63,9.64,10.86,441.3,422.63,12.25,7.5
2025-01-29,2025-01-30,439.09,411.95,-6.18,-6.17,412.02,-7.1,-6.77,-6.57,-5.99,419.76,405.67,-4.4,-7.61
2024-10-30,2024-10-31,428.5,402.57,-6.05,-5.12,406.55,-5.56,-4.87,-2.86,-1.64,422.88,401.8,-1.31,-6.23
2024-07-30,2024-07-31,418.23,413.71,-1.08,-1.37,412.48,-3.41,-6.57,-5.51,-5.79,422.72,381.3,1.07,-8.83
2024-04-25,2024-04-26,393.9,401.09,1.82,0.8,397.07,-2.43,-1.03,-0.3,1.91,407.69,384.16,3.5,-2.47
2024-01-30,2024-01-31,402.59,391.74,-2.69,-1.18,397.85,0.64,-0.72,-0.76,1.34,409.22,391.37,1.65,-2.79
2023-10-24,2023-10-25,325.01,334.99,3.07,-0.8,322.42,-0.22,2.05,2.29,4.7,341.62,321.48,5.11,-1.09
2023-07-25,2023-07-26,344.39,331.43,-3.76,-5.77,324.51,-3.59,-4.29,-4.17,-6.69,338.2,320.24,-1.8,-7.01
2023-04-25,2023-04-26,269.66,289.2,7.24,10.68,298.46,11.56,10.94,10.89,10.52,302.72,286.61,12.26,6.28
